,company_name,company_rating,five_star_rating,four_star_rating,three_star_rating,two_star_rating,one_star_rating,salary_rate,recommendation_rate,company_address,company_state,company_employee_num,company_benefit,company_dress_code,company_language,company_work_hours
2267,Pantai Hospital Cheras,3.8571,13,8,1,2,4,92%,82%,"no. 1, jalan 1/96a, taman cheras makmur, 56100 kuala lumpur.",Selangor,201 - 500 ,"Medical, Miscellaneous allowance, Parking",Uniform,English,Saturdays/Shift required
2268,BRAND'S SUNTORY (MALAYSIA) SDN. BHD.,3.0357,5,7,7,2,7,78%,50%,"no.5, jalan astaka u8/88, seksyen u8 bukit jelutong, 40150 shah alam, selangor darul ehsan, malaysia",Selangor,51 - 200 ,"Medical, Dental, Parking, Personal accident & Term Life Insurance",Formal (e.g. Shirts + Ties),English & Bahasa Malaysia,"Regular hours, Mondays - Fridays"
2270,Gafis (M) Sdn Bhd,3.2143,10,4,4,2,8,64%,46%,subang jaya selangor malaysia,Selangor,51 - 200 ,"Medical, Sports (e.g. Gym), Parking",Casual (e.g. T-shirts),"English, Bahasa Malaysia",Monday to Saturday
2271,Elitetrax Marketing Sdn Bhd (Harvey Norman),4.0,12,8,6,0,2,89%,82%,"corporate office: 
menara harvey norman, level 5
13a, jalan 51a/219, seksyen 51a,
46100 petaling jaya
selangor darul ehsan, malaysia

retail outlets: penang, ipoh, klang valley, johor, east malaysia.",Penang,501 - 1000 ,"Medical, Dental, Hospitalisation, Life Insurance, Allowances, Career Advancement",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2272,PLC Pet Lovers Centre Sdn Bhd,3.7857,11,8,5,0,4,78%,71%,"no. 15 jalan utarid u5/16, seksyen u5, 40150 shah alam, selangor malaysia",Selangor,51 - 200 ,"Medical, Miscellaneous allowance",Casual (e.g. T-shirts),English,"Office 5 Days, Retail (As per working shift)"
2273,Aeon Delight Malaysia Sdn Bhd,3.963,10,11,2,3,1,78%,78%,"3rd floor, wisma maluri, no 5, jalan jejaka, taman maluri, 55100 kuala lumpur",Kuala Lumpur,201 - 500 ,"Medical, Miscellaneous allowance, Education support, Dental",Casual (e.g. T-shirts),English and Japan,"Regular hours, Mondays - Fridays"
2274,Boardroom Corporate Services Sdn Bhd,3.25,6,8,5,5,4,78%,53%,"lot 6.05, level 6, kpmg tower, 8, first avenue, bandar utama, 47800 petaling jaya, selangor, malaysia & level 8, symphony house, pusat dagangan dana 1, jalan pju 1a/46, 47301 petaling jaya, selangor, malaysia.",Selangor,201 - 500 ,"Medical, Education support, Dental, Parking, Mobile Phone Allowance (Asst Managers & Above)",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2276,"The Majestic Hotel Kuala Lumpur, Autograph Collection",3.8214,11,9,3,2,3,71%,67%,"183 jalan bukit bintang, bukit bintang, 55100 kuala lumpur, federal territory of kuala lumpur, malaysia",Kuala Lumpur,201 - 500 ,"Meals, Uniform provided, Medical",Formal attire,English,Weekdays
2277,Sapura Aero Sdn Bhd,4.25,16,7,2,2,1,85%,82%,"aerotree hangar(bay 14b), sultan abdul aziz shah international airport, 47200, subang, selangor, malaysia",Selangor,51 - 200 ,"Medical, Miscellaneous allowance, Loans, Dental, Parking",Formal Attire,English,"Regular hours, Mondays - Fridays"
2278,PC DEPOT / PH&CO,2.9643,8,7,1,0,12,60%,46%,"no. 9 & 11, jalan perai jaya 3, bandar perai jaya, 13700 perai, penang (hq)",Penang,51 - 200 ,"Medical, Miscellaneous allowance, Yearly Bonus, Public Holiday, Annual Leave, Service Awards, EPF & SOCSO",Casual & Business,Chinese,Monday to Friday (5 days work)
2279,Dignersys Cloud Berhad,3.1852,11,4,1,1,10,75%,53%,jalan setia prima s u13/s setia avenue shah alam selangor malaysia,Selangor,51 - 200 ,"Medical, Miscellaneous allowance, Education support, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2280,PC DEPOT / PH&CO,2.9643,8,7,1,0,12,60%,46%,"no. 9 & 11, jalan perai jaya 3, bandar perai jaya, 13700 perai, penang (hq)",Penang,51 - 200 ,"Medical, Miscellaneous allowance, Yearly Bonus, Public Holiday, Annual Leave, Service Awards, EPF & SOCSO",Casual & Business,Chinese,Monday to Friday (5 days work)
2281,Dignersys Cloud Berhad,3.1852,11,4,1,1,10,75%,53%,jalan setia prima s u13/s setia avenue shah alam selangor malaysia,Selangor,51 - 200 ,"Medical, Miscellaneous allowance, Education support, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2283,CAMDEUSNOBLE SDN BHD,3.8929,13,8,2,1,4,82%,82%,"suite 1.12 & 1.14 , wisma badan peguam malaysia , no 2 leboh pasar besar , 50050 kuala lumpur malaysia",Kuala Lumpur,51 - 200 ,"Allowances, EPF, SOCSO, incentives,Commission,  Annual leave, Medical claim, ",Formal (e.g. Shirts + Ties),English and Bahasa Malaysia,"Mondays-Fridays, Saturdays-half day"
2284,EZT GROUP,3.5,10,3,8,5,2,53%,46%,"no.2, jalan radin bagus 1, 
bandar baru seri petaling, 
57000 kuala lumpur.",Selangor,51 - 200 ,"Medical, Miscellaneous allowance, EPF/SOCSO, Company Trip",Uniform provided,"BAHASA, ENGLISH & CHINESE",Saturdays/Shift required
2285,KLANA RESORT SEREMBAN,4.2143,15,8,3,0,2,75%,78%,"pt 4388 jalan penghulu cantik, taman tasik seremban, seremban 70100 negeri sembilan.",Negeri Sembilan,201 - 500 ,"Medical, Dental",Business (e.g. Shirts),English,Admin Position:Mondays-Fridays; Operation Position: Saturday & Shift required
2286,Netdomination Group Sdn Bhd,3.2143,11,1,3,9,4,53%,46%,"f-1-3a, pusat komersial parklane, jalan ss 7/26, 47301, kelana jaya, pj",Selangor,1 - 50 ,"Medical, Transportation Benefit",Casual (e.g. T-shirts),"Bahasa Malaysia, English, Mandarin","Regular hours, Mondays - Fridays"
2287,San Francisco Coffee,4.0,10,12,2,1,2,92%,85%,"the envictus, level 1, lot 11, jalan 225, section 51a, 46100 petaling jaya, selangor.",Selangor,201 - 500 ,"Medical, Dental, Parking, Vision, Employee Meal Discount Voucher",Will be advised during interview,English,9.00 am-6.00 pm
2288,Nilai International School,2.5357,5,5,3,2,13,75%,42%,"no. 3, persiaran universiti, bandar baru nilai, 71800 nilai, negeri sembilan, malaysia",Negeri Sembilan,1 - 50 ,"Medical, Dental, Tuition fees discount for staff's children",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2289,POLYPLAS SDN. BHD.,2.8571,8,3,3,5,9,67%,39%,"jalan iks bukit minyak, 14100 simpang ampat, penang, malaysia",Penang,201 - 500 ,"Medical, Miscellaneous allowance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2290,Nera (Malaysia) Sdn Bhd,3.8929,8,13,4,2,1,85%,64%,"no. 11 jalan juruukur u1/19, hicom - glenmarie industrial park, 40150 shah alam, selangor, malaysia",Selangor,51 - 200 ,"Medical, Miscellaneous allowance, Dental",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2291,Aiqon Capital Sdn Bhd,3.6786,12,5,5,2,4,78%,64%,"level 45, menara felda, no 11 persiaran klcc, platinum park, 50088 kuala lumpur",Kuala Lumpur,51 - 200 ,"Medical, Attractive Commission",Formal (e.g. Shirts + Ties),English,Mondays-Fridays (Working Saturdays based on individual department)
2292,Cement Industries of Malaysia Berhad (CIMA),4.5185,16,9,2,0,0,92%,96%,"2nd floor, annexe 2, persada plus
persimpangan bertingkat subang
km15, lebuhraya baru lembah klang
47301 petaling jaya, selangor, malaysia",Selangor,1001 - 2000 ,"Medical, Education support, Loans, Dental, Vision, Medical Insurance (Family), 15% EPF Contribution, Car Interest Subsidy",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
2293,Rockwills Corporation Sdn Bhd,3.7857,7,15,2,1,3,82%,82%,"menara amfirst, petaling jaya",Selangor,51 - 200 ,"Medical, Miscellaneous allowance, Dental, Vision",Formal (e.g. Shirts + Ties),English,Flexible Working Hours
2294,MOLPay Sdn Bhd,3.9643,17,3,2,2,4,85%,75%,"i-city, 40000 shah alam, selangor, malaysia",Selangor,51 - 200 ,"Dental, Insurance, Medical, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2295,Green World Genetics Sdn Bhd,4.1786,15,8,2,1,2,92%,85%,40 jalan kip 10 taman perindustrian kip kuala lumpur selangor malaysia,Selangor,1 - 50 ,Miscellaneous allowance,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2298,Siab Holdings Berhad (Listed in ACE Market),3.2857,11,4,3,2,8,71%,60%,"no. 8 jalan bp 7/8, bandar bukit puchong, 47120 puchong, selangor darul ehsan",Selangor,51 - 200 ,"Medical, Miscellaneous allowance, Dental, Insurance, Training",Smart Casual,English,HQ: 5 days work  ; Site: 6 days work
2299,CURGE ADVANCE SDN.BHD.,1.3929,1,1,1,2,23,10%,10%,"no: 6, jalan astaka u8/88a, bukit jelutong, 40150, shah alam, selangor",Selangor,1 - 50 ,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2300,MSD (Malaysia) Sdn Bhd,4.25,16,7,3,0,2,96%,67%,"3 jalan semangat, seksyen 13, 46100 petaling jaya, selangor, malaysia",Selangor,201 - 500 ,"EPF,SOCSO",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
2301,PROTECH DIGITAL SDN. BHD.,3.5714,5,11,8,3,1,67%,75%,"level 1, wisma amtek, no. 15, jalan tandang, petaling jaya, selangor",Selangor,51 - 200 ,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Parking, Vision, Annual Company Dinner",Business (Mon-Thu) Casual (Fri),Bahasa Malaysia & English,"Flexi Hours, Mondays-Fridays"
2302,Knauf Insulation Sdn. Bhd.,4.1111,13,9,2,1,2,100%,75%,"tanjung langsat, pasir gudang, johor",Johor,201 - 500 ,"Medical, Miscellaneous allowance, Dental, Parking","Casual, Uniform",English,"Regular hours, Mondays - Fridays"
2303,Metro Parking (M) Sdn Bhd,4.3571,16,8,2,2,0,92%,75%,"suite 10.2, level 10,  wisma chase perdana, off jalan semantan, damansara heights, 50490 kl",Selangor,501 - 1000 ,"Medical, Miscellaneous allowance, Parking, Insurance, Khairat, Sports Club",Smart Casual,Malay,"Regular hours, Mondays - Fridays"
2305,Eastern & Oriental Berhad,4.0714,10,13,2,3,0,82%,85%,"level 3a, menara millenium, no.8, jalan damanlela, pusat bandar damansara, 50490 kuala lumpur",Selangor,201 - 500 ,"Medical, Dental, Parking",Business (e.g. Shirts),"English, Bahasa Malaysia","Regular hours, Mondays - Fridays"
2306,Legendary Fashion Trading Sdn Bhd (Forever 21),4.1429,13,10,3,0,2,85%,75%,forever 21 pavillion mall jalan sultan ismail kuala lumpur federal territory of kuala lumpur malaysia,Kuala Lumpur,51 - 200 ,Store Incentive for Operation's Team and Staff Purchase,Business (e.g. Shirts),English,"Regular Hours, Monday - Friday or Follow Operational Hours"
2307,Ambang Wira Sdn. Bhd.,4.4074,16,8,2,0,1,82%,89%,20-2 jalan usj 9/5t subang business centre subang jaya selangor malaysia,Selangor,501 - 1000 ,"Medical, Miscellaneous allowance, Group Insurance, Handphone Allowance",Formal (e.g. Shirts + Ties),Malay,Monday to Saturday (half day)
2308,Green World Genetics Sdn Bhd,4.1786,15,8,2,1,2,92%,85%,40 jalan kip 10 taman perindustrian kip kuala lumpur selangor malaysia,Selangor,1 - 50 ,Miscellaneous allowance,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2309,Lotte Ube Synthetic Rubber Sdn Bhd,2.6071,5,6,3,1,13,82%,42%,pasir gudang johor malaysia,Johor,51 - 200 ,"Medical, Miscellaneous allowance, Parking, Technical Allowance, Loyalty Service Award",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2310,Signature Kitchen Sdn Bhd,3.8571,11,8,5,2,2,85%,75%,"lot 24, jalan teknologi, taman sains selangor 1, kota damansara, pju 5, 47810 petaling jaya, selangor, malaysia",Selangor,51 - 200 ,"Medical, Dental, Sports (e.g. Gym), Parking, Insurance Coverage, Staff Discounts for company cafe",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2311,ALTY Hospital (Registered under HSC Medical Center (KL) Sdn Bhd),2.8571,8,3,4,3,10,64%,42%,menara hsc 187 jalan ampang 50450 federal territory of kuala lumpur malaysia,Selangor,51 - 200 ,"Medical, Miscellaneous allowance, Education support, Parking",Business (e.g. Shirts),English,Mondays-Saturdays
2313,C.N. Chemicals Sdn Bhd,3.25,8,7,4,2,7,92%,57%,"9, jalan ski 1/ku7, 42200 kapar, selangor, malaysia",Selangor,1 - 50 ,"Medical, Miscellaneous allowance, Education support, Dental, Parking, Contractual Bonus",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2314,Aemulus Corporation Sdn Bhd,3.1429,9,5,4,1,9,75%,50%,"no 25, jalan sultan azlan shah, bayan lepas free industrial zone, phase 1, bayan lepas, penang",Penang,51 - 200 ,"Medical, Dental, Sports (e.g. Gym), Parking, Vision, Insurance",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
2315,Glomac Berhad,3.0357,1,10,9,5,3,71%,53%,"menara glomac  glomac damansara  jalan damansara  60000 kuala lumpur, malaysia",Selangor,51 - 200 ,"Medical, Miscellaneous allowance, Dental, Parking, Insurance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2317,Mitsubishi Electric (Malaysia) Sdn Bhd,3.75,12,7,3,2,4,75%,64%,kawasan perindustrian senai ii senai malaysia,,201 - 500 ,"Medical, Miscellaneous allowance, Dental, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2318,MHS Aviation Berhad,4.3571,17,8,0,2,1,78%,85%,"no 18 , block h jalan pju 1a/3 taipan damansara 2, ara damansara petaling jaya 47301",Selangor,201 - 500 ,"Dental, Medical, Miscellaneous allowance",Business (e.g. Shirts),English,"Regular hours, Mondays-Fridays"
2319,Panasonic AVC Networks Kuala Lumpur Malaysia Sdn Bhd,3.7857,12,6,4,4,2,82%,71%,"lot 5, persiaran tengku ampuan, seksyen 21, industrial site shah alam, selangor, malaysia",Selangor,1001 - 2000 ,"Dental, Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2320,The Westin Langkawi Resort & Spa,4.1429,13,10,3,0,2,89%,78%,"jalan pantai dato syed omar, langkawi, kedah, malaysia",Kedah,201 - 500 ,"Medical, Dental, Accomodation for those who non-local",Uniform,English,Shift requires
2321,Q Study Sdn. Bhd.,3.7143,18,1,0,1,8,92%,67%,"24-3a, jalan puteri 1/5, bandar puteri, 47100 puchong, selangor, malaysia",Selangor,1 - 50 ,"Medical, Dental, Vision",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
2322,Family Confectionery Sdn Bhd,3.0357,11,4,0,1,12,78%,53%,"32a jalan lapangan siber 8, bandar cyber ipoh, ipoh, perak, malaysia",Perak,51 - 200 ,"Medical, Extra Incentive, Staff Training, Staff Gathering & Rewards",Casual (e.g. T-shirts),"Mandarin, English & Malay",Depending on departmental working hours
2323,HINO MOTORS SALES (MALAYSIA) SDN BHD,4.0714,13,8,4,2,1,78%,78%,"lot p.t 24, jalan 223, seksyen 51a, 46100 petaling jaya, selangor, malaysia",Selangor,51 - 200 ,"Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2324,Strand Aerospace Malaysia Sdn Bhd,3.4074,4,10,8,3,2,89%,42%,menara bata damansara perdana petaling jaya selangor malaysia,Selangor,51 - 200 ,Medical,Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
2326,OLD IVY VENTURES SDN BHD,2.1786,6,0,2,5,15,78%,21%,sunway giza mall jalan pju 5/14 kota damansara petaling jaya selangor malaysia,Selangor,1 - 50 ,NA,Business (e.g. Shirts),English,5 or 5 1/2 working days
2327,Kimberly-Clark Products (M) Sdn Bhd,4.1481,13,9,3,0,2,89%,82%,"4 1/2 mile, jalan mersing, 86007, kluang, johor",Johor,501 - 1000 ,"Medical, Dental, Vision",Company uniform,English and Bahasa Malaysia,"Regular hours, Mondays - Fridays"
2328,Family Confectionery Sdn Bhd,3.0357,11,4,0,1,12,78%,53%,"32a jalan lapangan siber 8, bandar cyber ipoh, ipoh, perak, malaysia",Perak,51 - 200 ,"Medical, Extra Incentive, Staff Training, Staff Gathering & Rewards",Casual (e.g. T-shirts),"Mandarin, English & Malay",Depending on departmental working hours
2329,BPE Synergy Engineering Sdn Bhd,3.5357,6,9,8,4,1,57%,60%,"8, jalan tbc 9, taman bukit cheng, melaka",Melaka,51 - 200 ,"Medical, Miscellaneous allowance, Parking",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
2330,NS BlueScope Malaysia Sdn Bhd,4.0357,11,10,5,1,1,100%,78%,"jalan bukit kapar, 42200 kapar, selangor, malaysia",Selangor,201 - 500 ,"Medical, Miscellaneous allowance, Loans, Dental, Sports (e.g. Gym), Parking",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
2331,Winchester Interconnect (M) Sdn Bhd,3.0357,6,8,4,1,9,92%,50%,"no.1651, lorong perusahaan maju 8, prai industrial estate, phase iv, 13600 prai, penang.",Penang,201 - 500 ,"Medical, Education support, Dental, Sports (e.g. Gym), Vision, Birthday Leave, Teambuilding, Company Trip, Insurance",Business Casual,English,"Regular hours, Mondays - Fridays"
2332,HOMICO SDN. BHD.,2.8571,11,2,0,2,13,64%,42%,kuala lumpur,Kuala Lumpur,51 - 200 ,"Miscellaneous allowance, Annual Leave, Compassionate Leave, Paternity Leave, Laptop allowance",Casual (e.g. T-shirts),English,Mon-Fri/Mon-Sat according to team
2333,Netiquette Software (M) Sdn Bhd,3.7143,14,4,3,2,5,85%,60%,bangsar south kuala lumpur federal territory of kuala lumpur malaysia,Kuala Lumpur,51 - 200 ,"Medical, Miscellaneous allowance, Vision",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2334,TDK Electronics (Malaysia) Sdn. Bhd.,4.3929,15,11,1,0,1,96%,82%,"no 11, jalan firma 3, tebrau industrial estate iv, 81100 johor bahru, johor, malaysia",Johor,201 - 500 ,"Medical, Education support, Dental, Sports (e.g. Gym), Parking, Vision, Flexible Working Hours, Insurance Coverage",Uniform provided,English,"Regular hours, Mondays - Fridays"
2335,Asia Honour Paper Industries (M) Sdn Bhd,4.0357,15,6,3,1,3,78%,67%,"lot 3771 taman perindustrian temerloh, 28400 mentakab, pahang malaysia",Pahang,201 - 500 ,"Medical, Miscellaneous allowance, Dental, Parking",Uniforms,English,"Regular hours, Mondays - Fridays"
2336,HUNTERS INTERNATIONAL SDN. BHD.,4.6071,17,11,0,0,0,100%,100%,"a-06-07, menara prima, jalan pju 1/39, dataran prima, 47301 petaling jaya, selangor, malaysia",Selangor,1 - 50 ,"Miscellaneous allowance, Parking",Smart Casual,English,"Regular hours, Mondays - Fridays"
2338,EDP Consulting Group Sdn Bhd,3.0714,6,6,6,4,6,89%,53%,"no 24-1, jalan usj 10/1
47620, subang jaya",Selangor,51 - 200 ,"Medical, Miscellaneous allowance",Office Attire,English,Monday-Friday
2339,Seremban Engineering Berhad,3.0714,3,10,6,4,5,71%,46%,"lot 1a-1c, lorong bunga tanjung 1/3, senawang industrial park, 70400 seremban, negeri sembilan",Negeri Sembilan,201 - 500 ,"Medical, Parking, Uniform  provided",Casual (e.g. T-shirts),English,Mondays-Fridays (Alternate Saturdays)
2340,Linfox Logistics (Malaysia) Sdn Bhd,4.0714,12,9,4,3,0,96%,75%,"mct tower, one city skypark, jalan usj 25/1a, 47650 subang jaya, selangor, malaysia",Selangor,201 - 500 ,"Medical, Miscellaneous allowance, Parking, Hospitalization",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2341,VIRIDIS Engineering Sdn Bhd,3.8214,17,3,1,0,7,75%,60%,gateway corporate suites mont kiara kuala lumpur federal territory of kuala lumpur malaysia,Kuala Lumpur,1 - 50 ,"Miscellaneous allowance, Parking",Formal (e.g. Shirts + Ties),English,Long hours
2342,KUMPULAN LIZIZ SDN BHD,3.7857,16,3,1,3,5,75%,71%,"no.27, jalan perajurit, ipoh garden east, 31400 ipoh, perak, malaysia",Perak,201 - 500 ,"Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),English,Saturdays/Shift required
2343,Unijaya Resources Sdn Bhd,2.8929,7,4,5,3,9,82%,50%,"d-6-8, megan avenue 1, 189 jalan tun razak, 50400 kuala lumpur",Kuala Lumpur,1 - 50 ,Medical,Casual (e.g. T-shirts),"English, Bahasa Malaysia",10 AM - 7 PM
2344,Weil Hotel,3.6071,11,7,4,0,6,71%,67%,"taman ipoh, 30450 ipoh, perak, malaysia",Perak,201 - 500 ,Medical,Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
2346,Mary Kay (Malaysia) Sdn Bhd,4.3571,19,4,3,0,2,96%,71%,petaling jaya,Selangor,1 - 50 ,"Medical, Dental, Sports (e.g. Gym), Parking, Vision, Insurance, Higher EPF Rate",Formal & Casual Friday,English,"Regular hours, Mondays - Fridays"
2347,C-Pak Cergas Sdn Bhd,4.0357,13,6,7,1,1,78%,67%,"lot 22, lorong bunga tanjung 3/1, senawang industrial park, 70400 seremban, negeri sembilan, malaysia",Negeri Sembilan,501 - 1000 ,"Medical, Miscellaneous allowance",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
2348,GBA Corporation Sdn Bhd,3.3929,9,5,7,2,5,85%,60%,"8 jalan ppu 3, taman perindustrian puchong utama, 47100 puchong, selangor, malaysia",Selangor,201 - 500 ,"Medical, Education support, Dental, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2349,Anaika Collections Sdn Bhd.,4.3214,15,9,3,0,1,96%,85%,"level 2, wisma gba no. 6, jalan ss13/4, section 13, subang jaya industrial estate, 47500 subang jaya, malaysia",Selangor,201 - 500 ,"Medical, Miscellaneous allowance, Dental, Vision, Retail Stores - Commission",Corporate Office - Business. Retail Stores - Uniform,English,Corporate Office - Normal Working Hours & Days. Retail Stores - Shift & Weekends
2350,Melaleuca Southeast Asia (M) Sdn Bhd,4.0714,14,7,4,1,2,92%,78%,"unit b-10-3a & 5, level 10, tower b, menara uoa bangsar, no.5, jalan bangsar utama bangsar 1, 59000 kuala lumpur",Kuala Lumpur,51 - 200 ,"Medical, Dental, Vision",Uniform Provided,English & Bahasa Malaysia,Mondays to Saturdays (5 day work week)
2351,Soft Solvers Solutions Sdn Bhd,2.9643,7,5,5,2,9,60%,60%,"cbd perdana 3, 63000 cyberjaya, selangor, malaysia",Selangor,1 - 50 ,Medical,Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
2353,Schaefer Systems International Sdn.Bhd.,3.5714,8,6,11,0,3,96%,75%,"simpang renggam, 86200 simpang renggam, johor",Johor,201 - 500 ,"Medical, Transport allowance",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2356,Sin Chew Media Corporation Berhad,3.5357,9,7,4,6,2,60%,64%,"jalan angkasa mas 5, kawasan perindustrian tebrau ii, 81100 johor bahru, johor, malaysia",Johor,1 - 50 ,Medical,Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2358,LARICO INFRASTRUCTURE SDN. BHD.,3.75,11,3,10,4,0,85%,71%,"43-2 jalan pju 1/37, block g dataran prima, 47301 petaling jaya, selangor, malaysia",Selangor,51 - 200 ,"Loans, Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2359,Asian Football Confederation,3.6786,9,11,2,2,4,89%,71%,"afc house, jalan 1/155b, bukit jalil 57000 kuala lumpur, federal territory of kuala lumpur, malaysia",Kuala Lumpur,51 - 200 ,"Medical, Parking",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
2360,Malaysia Rail Link Sdn Bhd,4.5,21,3,2,1,1,96%,92%,"level 15, menara 1 dutamas, solaris dutamas, no. 1, jalan dutamas 1, 50480 kuala lumpur",Kuala Lumpur,201 - 500 ,"Medical, Dental, Vision",Business (e.g. Shirts),English & Bahasa Malaysia,"Regular hours, Mondays - Fridays"
2362,Colas Rail Asia Sdn Bhd,3.9286,14,8,0,2,4,100%,75%,"menara uoa bangsar, no. 5 jalan bangsar utama 1, 59000 kuala lumpur, federal territory of kuala lumpur, malaysia",Kuala Lumpur,51 - 200 ,"Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2363,Strategic Factor Sdn Bhd,4.1852,17,6,0,0,4,88%,85%,taman tun dr ismail kuala lumpur federal territory of kuala lumpur malaysia,Kuala Lumpur,1 - 50 ,"Medical, Miscellaneous allowance, Mobile, Performance Bonus,, Parking",Smart Casual,English,"Regular hours, Mondays - Fridays"
2364,PAN ASIA LOGISTICS MALAYSIA SDN BHD,3.2222,5,8,6,4,4,81%,62%,"e-5-5, megan avenue 1, 189, jalan tun razak, kuala lumpur 50400",Kuala Lumpur,201 - 500 ,"Dental, Education support, Medical, Miscellaneous allowance, Parking",Business (e.g. Shirts),English,"Regular hours, Mondays-Fridays"
2365,PSYAP & CO.,3.8148,10,8,4,4,1,81%,66%,"no.89-2, lorong 1/91, taman shamelin perkasa, 56100 cheras kuala lumpur",Selangor,1 - 50 ,"Parking, Free Accomodation",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2366,MDI Sdn Bhd,4.4615,16,8,1,0,1,92%,92%,"1, jalan teknologi perintis 2, taman teknologi nusajaya, iskandar puteri, johor",Johor,501 - 1000 ,"Medical, Miscellaneous allowance, Parking",Uniforms (provided),"English, Malay, Japanese(added advantage)","Regular Hours (Office), Shift Hours (Production)"
2367,Aluminium Company of Malaysia Berhad,4.0741,11,11,3,0,2,88%,81%,"persiaran waja, 40000 klang, selangor, malaysia",Selangor,201 - 500 ,"Medical, Dental, Sports (e.g. Gym), Parking",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
2368,GN ReSound (Malaysia) Sdn Bhd,3.5556,9,9,3,0,6,100%,70%,"no 5, jalan i-park 1/1, kawasan perindustrian i-park, 81000 bandar indahpura, kulai, johor",Johor,501 - 1000 ,"Medical, Miscellaneous allowance, Dental, Sports (e.g. Gym), Vision",Business (e.g. Shirts),English,Flexible Working Hours - Monday to Friday
2369,Nova Fusion Sdn Bhd,2.0,3,3,1,4,16,62%,22%,"12a, jalan temenggung 25/9, bandar mahkota cheras",Selangor,51 - 200 ,"EPF, Socso, Company Trips, Company Gatherings",Smart Casual or Business Attire,Mandarin and English,Monday to Friday and alternate Saturday
2370,MCDONALD CARTER,4.1111,15,7,1,1,3,74%,85%,"units 203-a to f 3rd floor, 203-b to f 4th floor, bangunan jian mei, gajah berang, 75200 melaka.",Melaka,51 - 200 ,"Medical, Miscellaneous allowance",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
2371,LEVI STRAUSS (MALAYSIA) SDN. BHD.,4.4444,16,8,2,1,0,96%,81%,"501a, level 5, uptown 1, 1 jalan ss21/58, damansara uptown, petaling jaya 47400 selangor",Selangor,1 - 50 ,"Medical, Miscellaneous allowance",Casual (e.g. T-shirts),English,Regular hours / Schedule or Shift
2372,Fire Fighter Industry Sdn Bhd,3.4815,10,4,6,3,4,70%,51%,"no. 1a, 10th mile, sg way, federal highway, 47301 petaling jaya, selangor, malaysia",Selangor,51 - 200 ,"Sports (e.g. Gym), Parking",Casual (e.g. T-shirts),English,"Mon - Fri   8am - 5pm,  Sat 8am - 1pm"
